TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.637,0.015,2.407,2.831,6.147,0.02,5.794,6.429,0.081,0.001,0.037,0.149
1.801,0.026,1.347,2.131,5.784,0.144,4.562,6.63,0.131,0.003,0.05,0.298
1.398,0.011,1.144,1.593,4.912,0.268,3.989,5.789,0.256,0.006,0.123,0.388
1.067,0.009,0.828,1.292,4.353,0.176,3.499,5.096,0.336,0.005,0.21,0.488
0.771,0.008,0.549,0.942,4.207,0.191,3.206,5.277,0.375,0.003,0.236,0.479
0.641,0.141,0.437,3.215,4.195,0.199,3.21,5.184,0.388,0.003,0.261,0.488
2.472,0.767,1.376,4.72,4.571,0.337,3.508,5.983,0.312,0.007,0.143,0.475
1.511,0.137,0.958,2.307,4.256,0.249,3.411,5.49,0.351,0.006,0.186,0.483
1.164,0.089,0.722,1.836,4.09,0.249,3.219,5.197,0.381,0.005,0.23,0.521
0.884,0.062,0.492,1.483,4.055,0.208,3.283,5.0,0.393,0.004,0.286,0.5
0.743,0.155,0.354,2.042,4.094,0.261,3.133,5.383,0.4,0.004,0.267,0.54
1.975,0.6,0.615,4.544,4.149,0.217,3.443,5.309,0.367,0.006,0.13,0.492
1.319,0.097,0.553,2.14,3.974,0.151,3.122,4.846,0.399,0.002,0.296,0.527
0.958,0.068,0.337,1.649,3.952,0.202,3.083,5.004,0.414,0.004,0.292,0.521
0.73,0.044,0.209,1.337,3.978,0.256,3.057,5.765,0.421,0.003,0.275,0.516
0.538,0.03,0.187,1.03,4.024,0.292,3.087,5.765,0.424,0.003,0.317,0.544
1.573,0.24,0.628,3.317,3.806,0.131,3.149,4.425,0.421,0.004,0.29,0.544
1.095,0.06,0.41,1.746,3.814,0.166,3.088,4.592,0.422,0.004,0.312,0.549
0.793,0.036,0.289,1.39,3.808,0.136,2.983,4.636,0.435,0.003,0.317,0.53
0.559,0.02,0.193,1.038,3.818,0.191,3.024,4.965,0.442,0.003,0.304,0.554
0.436,0.032,0.142,1.387,3.895,0.159,3.227,4.974,0.442,0.002,0.346,0.521
1.418,0.22,0.513,3.19,3.659,0.172,2.986,4.637,0.448,0.004,0.241,0.553
0.908,0.062,0.281,1.685,3.681,0.156,2.856,4.559,0.453,0.003,0.296,0.549
0.658,0.032,0.178,1.21,3.698,0.212,2.94,5.183,0.459,0.003,0.273,0.546
0.468,0.018,0.139,0.942,3.836,0.283,2.928,5.519,0.456,0.003,0.35,0.542
0.42,0.067,0.087,1.262,3.86,0.218,2.99,5.442,0.46,0.003,0.317,0.558
1.261,0.162,0.508,2.346,3.593,0.154,2.852,4.484,0.46,0.003,0.335,0.567
0.823,0.046,0.311,1.444,3.571,0.116,2.933,4.27,0.467,0.002,0.354,0.572
0.546,0.026,0.215,1.047,3.669,0.23,2.709,4.839,0.465,0.003,0.355,0.588
0.395,0.014,0.136,0.747,3.833,0.303,2.784,5.238,0.466,0.003,0.331,0.608
0.275,0.007,0.087,0.53,3.807,0.171,2.919,4.763,0.475,0.002,0.362,0.591
1.159,0.198,0.373,2.175,3.57,0.216,2.57,4.546,0.468,0.003,0.338,0.565
0.756,0.058,0.199,1.415,3.49,0.141,2.789,4.302,0.48,0.003,0.362,0.595
0.507,0.027,0.113,0.955,3.617,0.231,2.842,4.84,0.47,0.003,0.376,0.586
0.335,0.012,0.08,0.656,3.793,0.307,2.41,5.079,0.473,0.002,0.373,0.59
0.258,0.018,0.066,0.997,3.833,0.249,2.985,5.097,0.476,0.002,0.369,0.574
1.106,0.185,0.333,2.334,3.546,0.155,2.802,4.405,0.473,0.002,0.383,0.563
0.658,0.056,0.17,1.346,3.58,0.192,2.721,4.853,0.48,0.003,0.327,0.609
0.454,0.027,0.135,0.937,3.658,0.202,2.855,5.215,0.484,0.003,0.342,0.568
0.307,0.012,0.069,0.671,3.627,0.254,2.756,5.085,0.488,0.003,0.344,0.575
0.296,0.081,0.042,1.737,3.917,0.319,3.011,5.685,0.473,0.003,0.331,0.554
1.046,0.205,0.286,2.452,3.49,0.16,2.577,4.389,0.486,0.003,0.366,0.588
0.637,0.06,0.139,1.338,3.527,0.197,2.685,4.719,0.483,0.003,0.335,0.577
0.407,0.027,0.106,0.86,3.695,0.478,2.743,6.619,0.487,0.004,0.335,0.586
0.281,0.012,0.072,0.616,3.687,0.187,2.58,4.741,0.487,0.003,0.36,0.609
0.195,0.005,0.049,0.411,3.897,0.413,2.976,5.553,0.485,0.003,0.356,0.595
0.971,0.216,0.186,2.077,3.542,0.262,2.769,5.067,0.48,0.003,0.36,0.579
0.585,0.058,0.098,1.151,3.499,0.196,2.846,4.554,0.498,0.003,0.384,0.621
0.384,0.025,0.051,0.793,3.59,0.25,2.831,5.304,0.488,0.003,0.366,0.573
0.247,0.011,0.058,0.582,3.742,0.451,2.87,5.93,0.492,0.002,0.375,0.578
0.188,0.014,0.045,0.848,3.859,0.298,2.918,5.591,0.489,0.002,0.395,0.59
0.962,0.219,0.184,2.323,3.503,0.349,2.585,5.667,0.486,0.002,0.401,0.59
0.543,0.065,0.077,1.182,3.511,0.245,2.675,5.007,0.495,0.004,0.327,0.6
0.36,0.026,0.084,0.797,3.593,0.187,2.771,4.608,0.5,0.002,0.379,0.602
0.238,0.01,0.066,0.521,3.776,0.421,2.91,6.692,0.494,0.003,0.346,0.584
0.232,0.049,0.041,0.911,3.857,0.369,2.723,5.591,0.492,0.003,0.373,0.6
0.91,0.19,0.149,1.909,3.494,0.254,2.577,4.84,0.495,0.004,0.348,0.605
0.531,0.058,0.103,1.105,3.483,0.336,2.46,5.588,0.502,0.003,0.346,0.625
0.323,0.022,0.04,0.682,3.614,0.334,2.896,6.356,0.502,0.003,0.362,0.596
0.219,0.009,0.025,0.462,3.764,0.42,2.717,6.356,0.503,0.003,0.362,0.634
0.144,0.004,0.033,0.307,3.904,0.287,2.783,5.167,0.501,0.003,0.372,0.608
0.85,0.202,0.135,1.825,3.44,0.209,2.8,4.656,0.501,0.003,0.329,0.595
0.506,0.056,0.059,1.058,3.503,0.333,2.569,5.361,0.507,0.002,0.373,0.592
0.32,0.023,0.053,0.657,3.694,0.344,2.797,5.402,0.5,0.004,0.296,0.628
0.196,0.007,0.028,0.389,3.845,0.432,2.664,5.575,0.5,0.002,0.37,0.579
0.148,0.012,0.03,0.81,3.95,0.308,3.139,5.68,0.491,0.003,0.37,0.595
0.856,0.199,0.145,1.779,3.364,0.206,2.559,4.654,0.509,0.003,0.41,0.637
0.448,0.053,0.067,0.92,3.552,0.291,2.553,5.339,0.502,0.002,0.379,0.629
0.291,0.021,0.031,0.603,3.534,0.285,2.617,5.467,0.514,0.003,0.364,0.615
0.189,0.008,0.031,0.397,3.688,0.225,2.864,4.959,0.51,0.002,0.395,0.609
0.173,0.022,0.023,0.749,3.862,0.308,2.682,5.626,0.501,0.002,0.366,0.6
0.817,0.187,0.094,1.822,3.395,0.28,2.607,5.608,0.512,0.002,0.354,0.596
0.452,0.051,0.051,0.958,3.589,0.383,2.64,5.757,0.502,0.003,0.37,0.595
0.264,0.019,0.037,0.615,3.584,0.271,2.76,5.222,0.513,0.002,0.37,0.591
0.175,0.008,0.033,0.408,3.764,0.398,2.593,5.696,0.507,0.002,0.412,0.634
0.119,0.003,0.013,0.262,3.916,0.233,3.135,5.07,0.502,0.003,0.369,0.619
0.752,0.187,0.062,1.734,3.408,0.24,2.567,4.892,0.511,0.003,0.364,0.633
0.43,0.053,0.049,0.932,3.565,0.352,2.6,5.089,0.503,0.003,0.34,0.636
0.26,0.018,0.026,0.593,3.626,0.358,2.433,5.428,0.512,0.002,0.401,0.622
0.159,0.007,0.018,0.334,3.777,0.378,2.899,6.047,0.509,0.002,0.379,0.587
